,banknote,concrete_compression,wine_quality_white,wine_quality_red,california,climate_model_crashes,connectionist_bench_sonar,qsar_biodegradation,yeast,yacht_hydrodynamics
Q1_Q2_0.25,0.12545587162654992,0.0888349514563107,0.11511191952188282,0.11404855307294337,0.1236131298449612,0.12592592592592589,0.12467948717948718,0.1425962316495203,0.14799528301886788,0.0892857142857143
Q1_Q3_0.25,0.12527352297592997,0.08325242718446602,0.1156130517094176,0.11257035647279545,0.12272892441860461,0.12592592592592589,0.12483974358974359,0.12160443879320315,0.13653975741239888,0.10497835497835495
Q1_Q4_0.25,0.12545587162654992,0.09502427184466022,0.12056869223059508,0.11797145943487408,0.12376453488372097,0.12592592592592589,0.125,0.06722922205525372,0.08456873315363878,0.09956709956709953
Q2_Q3_0.25,0.12527352297592997,0.1024271844660194,0.11030476261182676,0.11234294161123426,0.12312257751937983,0.12592592592592589,0.12451923076923077,0.19782684082765,0.18985849056603776,0.08712121212121215
Q2_Q4_0.25,0.12545587162654992,0.1141990291262136,0.11526040313300423,0.11774404457331289,0.12415818798449607,0.12592592592592589,0.12467948717948718,0.16183100219627788,0.15439690026954178,0.08170995670995673
Q3_Q4_0.25,0.12527352297592997,0.10861650485436891,0.11576153532053901,0.11626584797316508,0.12327398255813948,0.12592592592592589,0.12483974358974359,0.14083920933996075,0.14294137466307277,0.09740259740259738
Q1_0.25,0.06272793581327496,0.03483009708737861,0.060210104309736834,0.057137983967252226,0.06160973837209305,0.062962962962963,0.0625,0.02399722575424801,0.03908355795148244,0.0535714285714286
Q2_0.25,0.06272793581327496,0.05400485436893199,0.05490181521214599,0.05691056910569103,0.06200339147286826,0.062962962962963,0.06217948717948718,0.11859900589527217,0.10891172506738545,0.0357142857142857
Q3_0.25,0.06254558716265501,0.04842233009708741,0.05540294739968077,0.055432372505543226,0.061119186046511675,0.062962962962963,0.06233974358974359,0.09760721303895503,0.09745619946091644,0.051406926406926456
Q4_0.25,0.06272793581327496,0.060194174757281504,0.06035858792085824,0.060833475467621856,0.06215479651162792,0.062962962962963,0.0625,0.043231996301005715,0.045485175202156336,0.045995670995671034
Q1_Q2_0.5,0.25018234865061995,0.17657766990291257,0.23005679498125398,0.22764227642276424,0.2471899224806201,0.2518518518518519,0.24903846153846154,0.2846144954340538,0.2952324797843666,0.17586580086580084
Q1_Q3_0.5,0.25,0.16565533980582525,0.23102193845354324,0.22445846836090744,0.24542151162790693,0.2518518518518519,0.2494391025641025,0.24272338457981735,0.2722371967654986,0.20616883116883122
Q1_Q4_0.5,0.2507293946024799,0.18919902912621356,0.24095177994728834,0.23537438171584513,0.24750484496124026,0.2518518518518519,0.2498397435897436,0.13399606981851808,0.16863207547169812,0.19480519480519476
Q2_Q3_0.5,0.2492706053975201,0.20364077669902914,0.220461041612532,0.22423105349934613,0.2461845930232558,0.2518518518518519,0.24863782051282046,0.36287134435325397,0.3501516172506739,0.17207792207792205
Q2_Q4_0.5,0.25,0.22718446601941744,0.2303908831062772,0.23514696685428393,0.24826792635658912,0.2518518518518519,0.24903846153846154,0.3228066119523755,0.30786725067385445,0.1607142857142857
Q3_Q4_0.5,0.24981765134938005,0.21626213592233012,0.23135602657856635,0.23196315879242713,0.24649951550387594,0.2518518518518519,0.2494391025641025,0.2809155010981389,0.28487196765498657,0.19101731601731597
Q1_0.5,0.12545587162654992,0.06929611650485434,0.12030884591113256,0.11393484564216272,0.12321342054263562,0.12592592592592589,0.12491987179487174,0.04790197665009821,0.07799865229110514,0.10497835497835495
Q2_0.5,0.12472647702407003,0.10728155339805823,0.10974794907012142,0.11370743078060153,0.12397650193798448,0.12592592592592589,0.12411858974358969,0.2367125187839556,0.21723382749326148,0.07088744588744589
Q3_0.5,0.12454412837345008,0.09635922330097091,0.11071309254241068,0.11052362271874472,0.12220809108527131,0.12592592592592589,0.12451923076923077,0.19482140792971914,0.19423854447439348,0.10119047619047616
Q4_0.5,0.12527352297592997,0.11990291262135921,0.12064293403615578,0.12143953607368241,0.12429142441860463,0.12592592592592589,0.12491987179487174,0.08609409316841987,0.09063342318059298,0.08982683982683981
Q1_Q2_0.75,0.3754558716265499,0.2650485436893204,0.34507591224618583,0.34134970720336577,0.37077882751937985,0.37777777777777777,0.3735576923076923,0.4270257773667784,0.44280660377358494,0.26515151515151514
Q1_Q3_0.75,0.37527352297593,0.24890776699029127,0.3465421879060099,0.33674455625675137,0.36811409883720925,0.37777777777777777,0.37419871794871795,0.3641197549416253,0.40860849056603776,0.31114718614718617
Q1_Q4_0.75,0.3761852662290299,0.28398058252427183,0.36146479082371286,0.353118426289158,0.37124515503875966,0.37777777777777777,0.3746794871794872,0.20099410472777712,0.253116576819407,0.2943722943722944
Q2_Q3_0.75,0.37436177972283,0.30570388349514566,0.33065444151601764,0.3364034339644095,0.3692587209302326,0.37777777777777777,0.3730769230769231,0.49379262513004274,0.4782681940700808,0.2591991341991342
Q2_Q4_0.75,0.37527352297593,0.3407766990291262,0.3455770444337206,0.35277730399681617,0.3723897771317829,0.37777777777777777,0.3735576923076923,0.4842677147150618,0.4617587601078167,0.24242424242424243
Q3_Q4_0.75,0.37509117432531003,0.3246359223300971,0.34704332009354466,0.3481721530502019,0.3697250484496124,0.37777777777777777,0.37419871794871795,0.4213616922899087,0.4275606469002695,0.28841991341991347
Q1_0.75,0.188183807439825,0.10412621359223306,0.18048182931808898,0.17084541474785375,0.1848171027131783,0.18888888888888888,0.1873397435897436,0.07187608368974685,0.11708221024258758,0.15854978354978355
Q2_0.75,0.18727206418672504,0.16092233009708734,0.16459408292809685,0.17050429245551202,0.18596172480620154,0.18888888888888888,0.18621794871794872,0.35514969367703153,0.32572439353099736,0.10660173160173159
Q3_0.75,0.18708971553610498,0.1447815533980582,0.1660603585879209,0.16589914150889762,0.18329699612403105,0.18888888888888888,0.18685897435897436,0.29224367125187845,0.2915262803234502,0.15259740259740262
Q4_0.75,0.18800145878920493,0.17985436893203888,0.18098296150562376,0.18227301154130426,0.18642805232558135,0.18888888888888888,0.1873397435897436,0.12911802103803027,0.13603436657681944,0.13582251082251084
Q1_Q2_1.0,0.49945295404814005,0.35266990291262135,0.459909424997216,0.45448860083006426,0.494343507751938,0.5,0.49703525641025637,0.5686972604323199,0.5898753369272237,0.3517316017316018
Q1_Q3_1.0,0.49908825674690005,0.33106796116504855,0.46182115149040426,0.4483483995679117,0.4907885174418605,0.5,0.4979967948717948,0.48486880129464804,0.5441374663072776,0.41233766233766234
Q1_Q4_1.0,0.5001823486506201,0.3779126213592233,0.48168083447789445,0.47023707999317754,0.4949612403100775,0.5,0.4989583333333333,0.267437290486649,0.33684299191374667,0.38961038961038963
Q2_Q3_1.0,0.4981765134938001,0.4065533980582524,0.440717918259772,0.44789356984478934,0.4923146802325581,0.5,0.49615384615384617,0.5892266789966478,0.5747978436657681,0.3441558441558441
Q2_Q4_1.0,0.4992706053975201,0.4533980582524272,0.4605776012472623,0.46978225027005516,0.4964874031007752,0.5,0.4971153846153846,0.6447578314645706,0.6150606469002695,0.3214285714285714
Q3_Q4_1.0,0.4989059080962801,0.4317961165048544,0.4624893277404506,0.4636420490079026,0.49293241279069766,0.5,0.4980769230769231,0.5609293723268987,0.5693227762803235,0.38203463203463206
Q1_1.0,0.25018234865061995,0.1385922330097087,0.240506329113924,0.22747171527659338,0.24640867248062015,0.25,0.2494391025641025,0.09568835972719913,0.15582884097035044,0.20995670995671
Q2_1.0,0.2492706053975201,0.21407766990291266,0.21940309588329188,0.22701688555347088,0.24793483527131788,0.25,0.24759615384615385,0.4730089007051208,0.4340464959568733,0.14177489177489178
Q3_1.0,0.2489059080962801,0.19247572815533975,0.22131482237648015,0.22087668429131846,0.24437984496124032,0.25,0.2485576923076923,0.3891804415674488,0.3883086253369272,0.20238095238095233
Q4_1.0,0.25,0.23932038834951452,0.24117450536397045,0.24276536471658428,0.24855256782945734,0.25,0.24951923076923077,0.17174893075944975,0.18101415094339623,0.17965367965367962
